stream,filename,size_bytes,closed_name
CH01,CH01_2026-07-04_15-00-00_to_16-00-00.mp4,3671443584,yes
CH01,CH01_2026-07-04_16-00-00_to_17-00-01.mp4,4398402289,yes
CH01,CH01_2026-07-04_17-00-01_to_18-00-01.mp4,4752076103,yes
CH01,CH01_2026-07-04_18-00-01_to_19-00-00.mp4,3876064418,yes
CH01,CH01_2026-07-04_19-00-00_to_20-00-06.mp4,3807392772,yes
CH01,CH01_2026-07-04_20-00-06_to_21-00-00.mp4,3634013931,yes
CH01,CH01_2026-07-04_21-00-00_to_22-00-01.mp4,4545237444,yes
CH01,CH01_2026-07-04_22-00-01_to_23-00-01.mp4,4284297212,yes
CH01,CH01_2026-07-04_23-00-01_to_00-00-00.mp4,4267002813,yes
CH01,CH01_2026-07-05_00-00-00_to_01-00-00.mp4,4281951537,yes
CH01,CH01_2026-07-05_01-00-00_to_02-00-00.mp4,4329523795,yes
CH01,CH01_2026-07-05_02-00-00_to_03-00-01.mp4,4314530679,yes
CH01,CH01_2026-07-05_03-00-01_to_04-00-01.mp4,4292770575,yes
CH01,CH01_2026-07-05_04-00-01_to_05-00-00.mp4,4405482537,yes
CH01,CH01_2026-07-05_05-00-00_to_06-00-00.mp4,4193882316,yes
CH01,CH01_2026-07-05_06-00-00_to_07-00-01.mp4,3601150583,yes
CH01,CH01_2026-07-05_07-00-01_to_08-00-01.mp4,3582516405,yes
CH01,CH01_2026-07-05_08-00-01_to_09-00-00.mp4,3409400984,yes
CH01,CH01_2026-07-05_09-00-00_to_10-00-01.mp4,3553153959,yes
CH01,CH01_2026-07-05_10-00-01_to_11-00-01.mp4,3626735050,yes
CH01,CH01_2026-07-05_11-00-01_to_11-50-08.mp4,2489581724,yes
CH01,CH01_2026-07-05_11-50-08_to_12-03-20.mp4,465305628,yes
CH01,CH01_2026-07-05_12-03-20_to_12-16-56.mp4,243007516,yes
CH01,CH01_2026-07-05_12-16-56_to_12-31-28.mp4,532152535,yes
CH01,CH01_2026-07-05_12-31-28_to_13-00-00.mp4,1676439965,yes
CH01,CH01_2026-07-05_13-00-00_to_14-00-01.mp4,3751800961,yes
CH01,CH01_2026-07-05_14-00-01_to_14-05-03.mp4,2025550,yes
CH01,CH01_2026-07-05_14-05-03_to_14-30-43.mp4,1050673526,yes
CH01,CH01_2026-07-05_14-30-43_to_14-56-53.mp4,1216610837,yes
