cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:26:11.5,152611.npz,T54,15:25:59,15:26:13,0,72,1,0,CH01-w42-r1
CH01,15:26:13.5,152613.npz,T54,15:25:59,15:26:13,1,74,1,0,CH01-w42-r1
CH01,15:26:15.5,152615.npz,,,,0,24,1,0,
CH01,15:26:21.4,152621.npz,T55,15:26:21,15:26:46,0,16,1,0,
CH01,15:26:27.4,152627.npz,T55,15:26:21,15:26:46,0,13,1,0,
CH01,15:26:29.4,152629.npz,T55,15:26:21,15:26:46,0,19,1,0,
CH01,15:26:30.1,152630.npz,T55,15:26:21,15:26:46,0,22,1,0,
CH01,15:26:32.1,152632.npz,T55,15:26:21,15:26:46,0,18,1,0,
CH01,15:26:46.1,152646.npz,T55,15:26:21,15:26:46,1,13,1,0,
CH01,15:27:18.1,152718.npz,,,,0,53,1,0,
CH01,15:27:20.1,152720.npz,,,,0,37,1,0,
CH01,15:27:22.1,152722.npz,,,,0,37,1,0,
CH01,15:27:24.1,152724.npz,F52,15:27:24,15:27:44,0,27,1,0,
CH01,15:27:26.1,152726.npz,F52,15:27:24,15:27:44,0,31,1,0,CH01-w45-r1
CH01,15:27:28.1,152728.npz,F52,15:27:24,15:27:44,0,18,1,0,CH01-w45-r1
CH01,15:27:30.1,152730.npz,F52,15:27:24,15:27:44,0,35,1,0,CH01-w45-r1
CH01,15:27:32.2,152732.npz,F52,15:27:24,15:27:44,0,36,1,0,CH01-w45-r1
CH01,15:27:34.1,152734.npz,F52,15:27:24,15:27:44,0,33,1,0,CH01-w45-r1
CH01,15:27:36.2,152736.npz,F52,15:27:24,15:27:44,0,29,1,0,CH01-w45-r1
CH01,15:27:38.2,152738.npz,F52,15:27:24,15:27:44,0,30,1,0,CH01-w45-r1
CH01,15:27:40.1,152740.npz,F52,15:27:24,15:27:44,0,27,1,0,CH01-w45-r1
CH01,15:27:42.1,152742.npz,F52,15:27:24,15:27:44,0,14,1,0,CH01-w45-r1
CH01,15:27:44.1,152744.npz,F52,15:27:24,15:27:44,1,52,1,0,
CH01,15:27:46.1,152746.npz,,,,0,33,1,0,
CH01,15:27:48.1,152748.npz,,,,0,47,1,0,
CH01,15:27:50.1,152750.npz,V53,15:27:50,15:28:02,0,48,1,0,
CH01,15:27:51.9,152751.npz,V53,15:27:50,15:28:02,0,20,1,0,
CH01,15:27:54.0,152754.npz,V53,15:27:50,15:28:02,0,14,1,0,
CH01,15:27:57.9,152757.npz,V53,15:27:50,15:28:02,0,22,1,0,CH01-w46-r1
CH01,15:27:59.9,152759.npz,V53,15:27:50,15:28:02,0,41,1,0,CH01-w46-r1
CH01,15:28:02.0,152802.npz,V53,15:27:50,15:28:02,1,38,1,0,CH01-w46-r1
CH01,15:28:03.9,152803.npz,,,,0,66,1,0,
CH01,15:28:06.0,152806.npz,,,,0,66,1,0,
CH01,15:28:08.0,152808.npz,,,,0,79,1,0,
CH01,15:28:09.9,152809.npz,,,,0,80,1,0,
CH01,15:28:12.0,152812.npz,,,,0,46,1,0,
CH01,15:28:14.0,152814.npz,F54,15:28:14,15:28:24,0,39,1,0,
CH01,15:28:18.0,152818.npz,F54,15:28:14,15:28:24,0,25,1,0,
CH01,15:28:19.9,152819.npz,F54,15:28:14,15:28:24,0,20,1,0,
CH01,15:28:22.0,152822.npz,F54,15:28:14,15:28:24,0,15,1,0,
CH01,15:28:23.9,152823.npz,F54,15:28:14,15:28:24,0,13,1,0,
CH01,15:28:26.0,152826.npz,,,,0,59,1,0,
CH01,15:28:51.9,152851.npz,,,,0,31,1,0,
CH01,15:29:34.0,152934.npz,,,,0,15,1,0,
CH01,15:30:22.0,153022.npz,,,,0,40,1,0,
CH01,15:30:24.0,153024.npz,,,,0,47,1,0,
CH01,15:32:30.0,153230.npz,,,,0,19,1,0,
CH01,15:32:32.1,153232.npz,,,,0,31,1,0,
CH01,15:32:34.1,153234.npz,,,,0,66,1,0,
CH01,15:32:36.0,153236.npz,,,,0,50,1,0,
CH01,15:32:38.1,153238.npz,,,,0,55,1,0,
CH01,15:32:40.1,153240.npz,,,,0,39,1,0,
CH01,15:32:42.0,153242.npz,,,,0,57,1,0,
CH01,15:32:44.1,153244.npz,,,,0,52,1,0,
CH01,15:32:46.0,153246.npz,,,,0,54,1,0,
CH01,15:32:48.1,153248.npz,,,,0,45,1,0,
CH01,15:32:50.2,153250.npz,,,,0,43,1,0,
